"","state","total_stations","registration_count","population","evs_per_station","people_per_station","pop_with_ev"
"1","CA",17797,1256646,39555674,70.61,2222.6,0.0318
"2","WA",2643,152101,7707586,57.55,2916.23,0.0197
"3","HI",383,25565,1455252,66.75,3799.61,0.0176
"4","CO",2495,90083,5775324,36.11,2314.76,0.0156
"5","NV",610,47361,3105595,77.64,5091.14,0.0153
"6","OR",1464,64361,4237224,43.96,2894.28,0.0152
"7","NJ",1586,134753,9289014,84.96,5856.88,0.0145
"8","AZ",1454,89798,7158110,61.76,4923.05,0.0125
"9","UT",923,39998,3271608,43.33,3544.54,0.0122
"10","VT",486,7816,643082,16.08,1323.21,0.0122
"11","FL",3801,254878,21538192,67.06,5666.45,0.0118
"12","MD",1412,72139,6181629,51.09,4377.92,0.0117
"13","MA",3810,73768,7033132,19.36,1845.97,0.0105
"14","VA",1781,84936,8631388,47.69,4846.37,0.0098
"15","CT",1397,31557,3607701,22.59,2582.46,0.0087
"16","GA",2173,92368,10713755,42.51,4930.4,0.0086
"17","DE",239,8435,989955,35.29,4142.07,0.0085
"18","TX",3834,230125,29149458,60.02,7602.88,0.0079
"19","IL",1546,99573,12821814,64.41,8293.54,0.0078
"20","NH",286,9861,1377546,34.48,4816.59,0.0072
"21","NC",1863,70164,10441499,37.66,5604.67,0.0067
"22","MN",1030,37050,5706692,35.97,5540.48,0.0065
"23","NY",4920,131250,20203772,26.68,4106.46,0.0065
"24","OK",380,22843,3959405,60.11,10419.49,0.0058
"25","RI",338,6396,1097354,18.92,3246.61,0.0058
"26","PA",1967,70154,13002909,35.67,6610.53,0.0054
"27","ME",540,7377,1363196,13.66,2524.44,0.0054
"28","MI",1822,50284,10079338,27.6,5532.02,0.005
"29","NM",401,10276,2117555,25.63,5280.69,0.0049
"30","TN",1050,33221,6912347,31.64,6583.19,0.0048
"31","ID",210,8501,1839140,40.48,8757.81,0.0046
"32","MO",1316,26861,6154854,20.41,4676.94,0.0044
"33","MT",142,4608,1084216,32.45,7635.32,0.0043
"34","OH",1859,50393,11799453,27.11,6347.2,0.0043
"35","WI",749,24943,5894170,33.3,7869.39,0.0042
"36","SC",635,20873,5118252,32.87,8060.24,0.0041
"37","IN",659,26101,6786587,39.61,10298.31,0.0038
"38","KS",561,11271,2937745,20.09,5236.62,0.0038
"39","AK",63,2697,733395,42.81,11641.19,0.0037
"40","NE",301,6920,1961996,22.99,6518.26,0.0035
"41","IA",448,9031,3190546,20.16,7121.75,0.0028
"42","KY",354,11617,4506302,32.82,12729.67,0.0026
"43","AL",506,13047,5025369,25.78,9931.56,0.0026
"44","AR",369,7108,3011553,19.26,8161.39,0.0024
"45","WY",102,1139,576844,11.17,5655.33,0.002
"46","SD",106,1675,886729,15.8,8365.37,0.0019
"47","LA",282,8150,4657874,28.9,16517.28,0.0017
"48","WV",183,2758,1793736,15.07,9801.84,0.0015
"49","MS",195,3590,2961278,18.41,15186.04,0.0012
"50","ND",98,959,779046,9.79,7949.45,0.0012
